PAGASA 14.6452 121.0442
980316	7.7589	125.0413
980317	14.6042	121.0186
980318	14.4093	120.8577
980319	14.5842	121.0572
980321	14.962	120.8909
980322	14.7548	120.9553
980323	14.4861	121.0432
980324	14.6264	121.0853
980325	14.3847	120.9766
980326	14.377	121.0451
980327	14.6251	121.1197
980328	14.7342	121.0567
980329	14.4332	121.0108
980331	14.4788	120.9922
980332	16.4089	120.5991
980333	14.313	121.0986
980334	16.4334	121.1133
980335	15.0523	120.7017
980336	14.7083	121.0364
980337	14.5842	121.0776
980338	7.0989	125.6312
980339	14.565	121.1408
980341	14.0703	121.3006
980342	15.1692	120.5815
980343	14.6186	120.9859
980344	14.2039	121.1551
980345	8.4566	124.6224
980346	14.8261	120.283
980347	13.9548	121.1631
980348	15.4786	120.5941
980349	10.7144	122.5513
980351	7.0498	125.5901
980352	10.3116	123.919
980353	10.6736	122.9443
980354	14.6576	121.0297
980355	14.4486	120.9813
980356	13.9414	121.626
980357	15.8784	120.6006
980358	15.0278	120.6922
980359	10.381	123.9637
980361	14.3015	120.9564
980362	14.5894	120.9826
980363	13.041	124.043
980365	7.6001	125.7427
980366	15.0118	120.8657
980368	14.445	120.95
980369	16.9371	121.7692
980371	13.6205	123.1899
980372	14.6864	120.9765
980374	13.7551	121.0695
980375	6.1167	125.18
980376	16.3946	120.7298
980377	14.6138	121.0558
980378	11.0153	123.9925
980379	7.0861	124.9152
980381	6.3984	125.618
980382	15.0643	120.7228
980384	6.959	126.2036
980386	11.2814	125.0678
980387	11.5678	124.9283
980388	11.762444	124.950586
980389	11.109221	125.386353
980391	11.500087	125.501189
980392	11.903908	125.418658
980393	11.3237814	125.6193361
980394	12.504467	124.284345
980395	11.034203	125.722283
980396	11.097626	125.709121
980397	14.942758	120.948593
980398	14.845233	120.797119
980399	14.85	120.9797
980402	15.7669	119.9092
980403	14.96	120.1719
980404	15.986881	120.704978
980405	16.0274	120.7478
980406	17.256	121.8715
980407	17.4184	121.8153
980408	10.7472	125.013092
980409	10.916005	124.694231
980411	10.676627	124.79839
980412	11.3074	124.6889
980413	10.953289	125.033821
980414	16.6265	120.3212
980415	8.9432	125.5218
980416	16.6691	120.3863
980418	16.5337	120.397
980419	17.4282	120.472
980421	18.2328	120.639
980422	18.1659	120.7153
980423	18.2482	120.578
980424	16.8221	120.4041
980425	15.323	120.6563
980427	14.1977	121.1335
980428	13.355	123.7206
980429	13.4647	123.6639
980431	12.6656	123.8781
980432	12.9203	124.1225
980433	13.2675	123.7936
980434	13.2342	123.7722
980435	8.5561	124.509
980436	13.7069	123.2139
980437	12.7539	124.1387
980438	10.3792	124.7486
980439	10.846968	125.002241
980441	14.362642	121.054695
980442	14.29992	121.096848
980444	14.926817	121.029915
980445	14.937287	121.058502
